,time,low,high,open,close,volume
0,18:05:00,5032.72,5045.63,5038.85,5043.93,30.21430942
1,18:10:00,5039.46,5044.48,5040.6,5044.0,7.99145301
2,18:15:00,5041.25,5054.75,5042.44,5054.25,24.47925636
3,18:20:00,5051.93,5060.0,5054.75,5051.93,16.76117967
4,18:25:00,5047.72,5057.55,5050.25,5048.43,18.80403512
5,18:30:00,5034.44,5048.41,5048.41,5041.29,9.76460986
6,18:35:00,5040.0,5050.06,5041.29,5040.72,11.26177235
7,18:40:00,5029.7,5041.81,5040.72,5040.03,20.38199648
8,18:45:00,5029.7,5040.56,5040.1,5034.04,17.40632337
9,18:50:00,5029.71,5036.96,5032.41,5029.71,14.075659900000002
10,18:55:00,5029.71,5043.53,5029.71,5042.66,12.83106031
11,19:00:00,5040.65,5053.53,5042.62,5053.53,14.04560183
12,19:05:00,5040.43,5052.1,5051.29,5045.3,25.95190644
13,19:10:00,5041.84,5046.13,5045.27,5044.48,20.46121647
14,19:15:00,5044.47,5051.61,5044.48,5050.29,13.66513781
15,19:20:00,5048.6,5051.7,5050.29,5049.58,11.66498228
16,19:25:00,5047.83,5052.0,5049.58,5050.91,9.50716522
17,19:30:00,5039.69,5050.91,5050.91,5040.07,18.25743682
18,19:35:00,5036.64,5042.31,5040.07,5040.18,12.01947819
19,19:40:00,5038.25,5051.14,5040.18,5051.14,13.20355154
20,19:45:00,5047.69,5054.2,5051.14,5050.19,49.12088242
21,19:50:00,5049.22,5057.0,5052.0,5052.31,22.75752379
22,19:55:00,5041.41,5052.28,5050.35,5044.69,36.97894416
23,20:00:00,5043.61,5047.14,5044.58,5047.14,13.54901069
24,20:05:00,5046.25,5051.87,5047.14,5051.87,8.06111907
25,20:10:00,5051.98,5059.0,5052.81,5059.0,6.55851253
26,20:15:00,5059.0,5070.33,5059.0,5062.06,50.2622554
27,20:20:00,5059.66,5062.08,5062.06,5059.67,13.23615633
28,20:25:00,5057.37,5075.58,5059.67,5073.35,21.61163897
29,20:30:00,5070.72,5075.82,5073.35,5075.81,15.72271687
30,20:35:00,5064.23,5075.83,5075.82,5067.72,24.78587151
31,20:40:00,5067.41,5080.0,5067.77,5080.0,35.84568983
32,20:45:00,5077.97,5089.99,5079.78,5086.41,15.85431563
33,20:50:00,5084.0,5108.71,5086.41,5100.97,86.21819361
34,20:55:00,5100.99,5135.0,5101.0,5126.19,108.23993365
35,21:00:00,5126.19,5151.39,5126.19,5132.9,170.81295533
36,21:05:00,5105.8,5136.09,5132.9,5130.0,44.5155727
37,21:10:00,5131.42,5159.99,5134.0,5159.41,142.66871138
38,21:15:00,5137.69,5164.54,5159.99,5143.36,60.84251248
39,21:20:00,5121.71,5140.77,5140.53,5132.96,75.03546105
40,21:25:00,5129.48,5142.0,5133.02,5141.25,19.19169801
41,21:30:00,5123.08,5141.92,5141.92,5127.79,40.70945094
42,21:35:00,5120.0,5129.52,5126.09,5127.51,28.71157748
43,21:40:00,5128.29,5141.77,5130.0,5137.79,30.87732163
44,21:45:00,5117.83,5139.2,5139.2,5130.0,29.557613399999997
45,21:50:00,5125.29,5138.56,5129.75,5137.75,42.02776277
46,21:55:00,5126.45,5137.75,5137.75,5127.25,12.46470568
47,22:00:00,5122.65,5136.53,5126.45,5134.64,31.01623549
48,22:05:00,5133.64,5163.57,5134.48,5144.6,48.83050206
49,22:10:00,5140.01,5153.08,5145.85,5140.87,45.96523948
50,22:15:00,5134.82,5143.56,5140.86,5143.56,19.00645418
51,22:20:00,5140.66,5153.12,5143.46,5150.62,19.08175086
52,22:25:00,5147.53,5157.04,5150.09,5155.39,11.93646232
53,22:30:00,5140.0,5151.89,5151.89,5143.98,27.86994388
54,22:35:00,5140.64,5150.0,5144.18,5149.8,21.10097423
55,22:40:00,5140.45,5149.78,5149.78,5142.74,32.50944456
56,22:45:00,5127.84,5147.05,5141.52,5133.21,24.53991739
57,22:50:00,5126.77,5141.45,5133.21,5141.45,19.25763525
58,22:55:00,5140.01,5146.44,5141.45,5140.01,14.49933311
59,23:00:00,5130.5,5141.33,5140.01,5134.04,26.9883539
60,23:05:00,5131.32,5137.84,5134.01,5137.83,25.57828424
61,23:10:00,5135.92,5145.81,5136.56,5145.7,20.83699912
62,23:15:00,5141.96,5148.9,5145.7,5148.9,22.41968868
63,23:20:00,5143.19,5152.57,5148.57,5145.53,30.15659809
64,23:25:00,5144.96,5152.58,5146.76,5152.55,28.37183903
65,23:30:00,5141.96,5152.54,5151.7,5144.0,26.62388032
66,23:35:00,5136.46,5146.35,5144.0,5136.46,20.40746543
67,23:40:00,5136.46,5144.99,5136.47,5144.97,5.81508119
68,23:45:00,5139.2,5144.97,5144.97,5142.03,31.13000805
69,23:50:00,5123.48,5143.1,5143.08,5123.48,52.390273799999996
70,23:55:00,5091.21,5125.13,5124.75,5099.8,105.49255975
71,00:00:00,5020.0,5022.56,5022.55,5020.0,4.87930201
72,00:05:00,5016.14,5020.49,5020.23,5016.19,4.36416219
73,00:10:00,5013.99,5017.31,5017.31,5015.12,3.44578055
74,00:15:00,5013.99,5018.03,5013.99,5016.3,9.02836034
75,00:20:00,5012.0,5018.5,5018.5,5013.8,5.70612704
76,00:25:00,5013.8,5017.87,5013.8,5016.0,6.15600214
77,00:30:00,5011.0,5016.0,5016.0,5013.68,3.2233833
78,00:35:00,5011.0,5013.82,5013.82,5012.09,2.00291263
79,00:40:00,5010.0,5012.99,5012.09,5012.37,2.75467342
80,00:45:00,5010.03,5014.0,5012.37,5014.0,8.72247925
81,00:50:00,5012.31,5014.0,5014.0,5012.82,2.50893693
82,00:55:00,5013.99,5019.88,5013.99,5019.78,14.77807367
83,01:00:00,5017.82,5021.47,5019.78,5018.48,2.60820659
84,01:05:00,5016.58,5020.95,5017.24,5018.96,11.21883047
85,01:10:00,5012.22,5018.96,5018.96,5014.83,1.82414643
86,01:15:00,5010.91,5013.61,5012.88,5011.18,3.68877712
87,01:20:00,5010.0,5012.49,5011.18,5010.01,6.25087937
88,01:25:00,5005.0,5011.5,5010.01,5005.0,4.54805722
89,01:30:00,5003.53,5008.71,5005.63,5007.9,4.51938225
90,01:35:00,5006.69,5009.06,5006.69,5008.84,8.5582522
91,01:40:00,5006.78,5009.79,5008.84,5008.23,6.32435322
92,01:45:00,5003.58,5009.98,5008.0,5009.46,4.06228281
93,01:50:00,5001.56,5010.14,5008.59,5004.5,14.41842443
94,01:55:00,5001.56,5006.99,5004.5,5001.58,12.11200739
95,02:00:00,4992.32,5001.64,5001.64,4992.33,9.9456846
96,02:05:00,4984.01,4998.21,4992.34,4997.46,31.30715535
97,02:10:00,4996.02,4999.44,4996.53,4999.43,13.61798926
98,02:15:00,4999.43,5003.26,4999.44,4999.54,3.25966752
99,02:20:00,4996.83,5002.18,4997.27,4999.98,2.65473861
100,02:25:00,4991.34,5000.04,5000.0,4994.67,8.05748271
101,02:30:00,4988.3,4996.49,4994.89,4991.95,4.33135974
102,02:35:00,4967.5,4993.39,4991.28,4975.56,120.00210084
103,02:40:00,4977.89,4989.9,4977.89,4984.16,6.79925604
104,02:45:00,4974.27,4984.16,4984.16,4980.98,26.85608859
105,02:50:00,4980.7,4990.96,4980.96,4988.15,4.05431755
106,02:55:00,4989.36,4992.72,4989.36,4992.72,5.71576436
107,03:00:00,4991.03,4998.2,4993.18,4994.76,3.13485026
108,03:05:00,4991.59,4994.99,4994.76,4994.99,1.26843737
109,03:10:00,4990.84,4995.0,4994.98,4991.45,2.35706414
110,03:15:00,4985.67,4991.45,4991.45,4987.22,5.13076494
111,03:20:00,4984.3,4991.02,4987.23,4987.4,3.04631799
112,03:25:00,4976.97,4987.21,4987.21,4977.05,3.63700325
113,03:30:00,4975.01,4986.55,4977.05,4986.55,10.62463353
114,03:35:00,4984.95,4989.84,4984.95,4989.08,2.43263082
115,03:40:00,4989.08,4993.82,4989.08,4991.66,1.99536015
116,03:45:00,4989.09,4996.51,4991.66,4995.25,4.33368079
117,03:50:00,4991.82,4994.78,4993.83,4992.12,1.83681861
118,03:55:00,4985.07,4992.12,4992.12,4985.14,4.01561046
119,04:00:00,4985.14,4992.15,4985.14,4990.94,1.02220414
120,04:05:00,4990.23,4998.5,4990.48,4997.8,7.08993313
121,04:10:00,4992.97,4998.5,4997.18,4994.43,0.89022462
