,time,low,high,open,close,volume
0,18:05:00,8067.8,8078.17,8076.24,8071.56,3.69771666
1,18:10:00,8067.8,8075.0,8071.56,8071.82,7.10979807
2,18:15:00,8070.0,8074.47,8071.81,8073.51,5.22663332
3,18:20:00,8061.66,8073.51,8073.51,8063.81,9.86277563
4,18:25:00,8052.0,8063.61,8063.6,8053.0,15.61895351
5,18:30:00,8053.0,8055.59,8053.0,8055.59,12.94284762
6,18:35:00,8055.59,8069.01,8055.59,8069.0,9.33546333
7,18:40:00,8069.0,8084.0,8069.0,8080.99,20.4850499
8,18:45:00,8065.77,8078.63,8075.96,8073.86,5.75023469
9,18:50:00,8051.39,8073.67,8073.67,8051.67,13.23257769
10,18:55:00,8054.72,8059.99,8054.72,8054.94,33.68567114
11,19:00:00,8054.28,8054.95,8054.94,8054.29,14.3179106
12,19:05:00,8049.0,8054.29,8054.29,8049.0,9.09802971
13,19:10:00,8032.53,8049.01,8049.01,8046.68,9.47980245
14,19:15:00,8040.08,8046.5,8046.38,8045.62,5.56429889
15,19:20:00,8045.32,8048.97,8045.62,8048.97,4.71831647
16,19:25:00,8044.0,8053.08,8048.97,8044.74,9.141021400000001
17,19:30:00,8032.64,8044.74,8044.74,8035.52,12.33087885
18,19:35:00,8035.51,8035.52,8035.52,8035.52,5.20761192
19,19:40:00,8035.51,8045.0,8035.52,8044.96,8.00668268
20,19:45:00,8044.0,8045.0,8044.98,8044.01,6.82995553
21,19:50:00,8033.97,8044.69,8044.01,8043.54,15.07155864
22,19:55:00,8041.47,8045.0,8043.55,8043.17,5.6945084
23,20:00:00,8041.32,8045.0,8043.18,8045.0,12.20772691
24,20:05:00,8044.99,8052.52,8045.0,8051.55,6.41820969
25,20:10:00,8045.11,8056.0,8051.55,8056.0,22.34790351
26,20:15:00,8055.99,8068.08,8055.99,8064.89,14.49305878
27,20:20:00,8051.3,8064.95,8064.89,8051.3,7.9018414
28,20:25:00,8050.21,8056.57,8051.31,8056.57,15.06567462
29,20:30:00,8048.57,8056.58,8056.57,8049.17,5.01378996
30,20:35:00,8039.38,8053.42,8053.42,8045.79,6.64085293
31,20:40:00,8041.11,8050.5,8045.66,8050.5,4.32487188
32,20:45:00,8039.5,8054.09,8050.49,8039.51,12.32784078
33,20:50:00,8030.51,8039.51,8039.51,8032.28,10.93703685
34,20:55:00,8014.07,8032.37,8032.36,8022.65,15.80954507
35,21:00:00,8022.0,8040.0,8022.63,8033.17,10.30307707
36,21:05:00,8029.1,8038.52,8033.17,8038.22,4.51439182
37,21:10:00,8038.21,8038.53,8038.22,8038.53,6.802339
38,21:15:00,8032.61,8038.53,8038.53,8033.81,8.52748504
39,21:20:00,8024.42,8033.81,8033.81,8026.98,17.32884192
40,21:25:00,8026.22,8029.59,8026.97,8026.25,13.0362381
41,21:30:00,8015.73,8026.25,8026.24,8015.73,20.05429064
42,21:35:00,8011.42,8015.27,8015.27,8011.43,27.87993709
43,21:40:00,7985.12,8011.43,8011.43,7995.11,161.19215184
44,21:45:00,7996.73,8012.49,7999.91,8012.48,15.08583445
45,21:50:00,8001.81,8012.49,8012.47,8012.48,12.15402531
46,21:55:00,8001.01,8012.49,8012.49,8003.49,11.3041132
47,22:00:00,7977.76,8003.5,8003.49,7997.41,32.65160433
48,22:05:00,8001.0,8029.59,8001.0,8023.37,54.14713524
49,22:10:00,8022.91,8030.0,8023.38,8024.94,19.78092105
50,22:15:00,8024.92,8032.79,8024.93,8032.78,51.98355001
51,22:20:00,8032.78,8045.0,8032.79,8040.01,15.41235169
52,22:25:00,8027.17,8040.01,8040.0,8035.99,12.59479583
53,22:30:00,8034.05,8036.68,8035.79,8035.0,4.65690403
54,22:35:00,8033.12,8035.01,8035.0,8033.13,7.88348198
55,22:40:00,8033.12,8040.0,8033.13,8040.0,5.47419776
56,22:45:00,8039.99,8040.0,8039.99,8040.0,4.92555689
57,22:50:00,8033.12,8040.0,8040.0,8038.58,4.68149199
58,22:55:00,8033.12,8035.88,8035.88,8033.13,6.5198218
59,23:00:00,8022.24,8033.13,8033.12,8022.25,17.72757503
60,23:05:00,8022.18,8022.25,8022.24,8022.19,2.49691209
61,23:10:00,8022.18,8022.19,8022.19,8022.19,7.94708365
62,23:15:00,8022.03,8023.0,8022.19,8022.04,10.9734724
63,23:20:00,8005.41,8022.03,8022.03,8014.33,16.1196364
64,23:25:00,7995.4,8014.33,8014.33,7995.4,14.4212486
65,23:30:00,7988.0,8000.0,7994.54,7988.04,45.78185618
66,23:35:00,7989.74,8010.92,7989.74,8000.25,28.79741464
67,23:40:00,8000.24,8001.54,8000.24,8000.26,7.34955055
68,23:45:00,7977.0,8000.26,8000.25,7995.12,38.98980345
69,23:50:00,7984.44,7998.73,7994.25,7985.99,14.16716972
70,23:55:00,7977.0,8002.18,7985.99,8002.03,10.48768765
71,00:00:00,7955.0,7980.92,7980.92,7958.35,34.64399675
72,00:05:00,7957.0,7974.57,7958.36,7974.57,25.31885152
73,00:10:00,7969.55,8001.84,7970.13,7998.29,11.12247771
74,00:15:00,7990.0,7998.87,7998.29,7998.87,9.84041459
75,00:20:00,7999.99,8009.98,7999.99,8000.0,5.49270639
76,00:25:00,8000.0,8000.01,8000.01,8000.0,1.3988656000000002
77,00:30:00,8000.0,8000.01,8000.0,8000.0,4.15336987
78,00:35:00,7990.0,8000.01,8000.01,7990.01,7.36915531
79,00:40:00,7965.04,7990.01,7990.0,7984.6,12.22332895
80,00:45:00,7961.47,7983.32,7983.28,7961.48,9.33879072
81,00:50:00,7941.25,7970.88,7961.48,7967.73,24.89466372
82,00:55:00,7965.32,7980.97,7965.32,7971.17,2.5048209999999997
83,01:00:00,7964.69,7978.06,7972.2,7978.06,4.26029653
84,01:05:00,7965.0,7979.65,7978.02,7965.01,4.24110127
85,01:10:00,7958.22,7973.3,7965.0,7967.36,19.40080125
86,01:15:00,7962.23,7980.5,7966.09,7979.99,2.82995561
87,01:20:00,7973.72,7991.48,7977.76,7985.88,3.84863738
88,01:25:00,7973.53,7985.87,7985.87,7976.68,2.79339609
89,01:30:00,7970.67,7989.17,7976.68,7986.51,3.58926464
90,01:35:00,7986.35,7995.0,7986.35,7989.89,4.52090182
91,01:40:00,7981.6,7989.89,7989.3,7985.29,2.83333609
92,01:45:00,7985.28,7992.19,7985.28,7991.93,3.92346089
93,01:50:00,7986.93,7995.0,7991.93,7986.96,6.51479441
94,01:55:00,7986.0,7991.42,7986.96,7991.39,11.26243724
