,time,low,high,open,close,volume
227,22:00:00,10220.0,10230.69,10221.8,10226.17,16.28109679
226,22:05:00,10214.58,10226.17,10226.17,10215.56,15.30736449
225,22:10:00,10210.0,10216.44,10215.55,10214.57,18.39414272
224,22:15:00,10210.0,10216.44,10215.5,10212.56,3.66557695
223,22:20:00,10197.34,10212.58,10210.21,10201.65,8.59743824
222,22:25:00,10182.03,10205.08,10197.29,10185.68,25.41055997
221,22:30:00,10180.0,10200.0,10187.13,10199.99,29.39301331
220,22:35:00,10180.0,10200.0,10200.0,10182.01,10.65940062
219,22:40:00,10181.03,10196.15,10187.88,10191.66,24.91248315
218,22:45:00,10191.41,10200.0,10193.46,10200.0,19.61560317
217,22:50:00,10198.52,10209.0,10200.0,10203.78,11.2810685
216,22:55:00,10151.0,10203.79,10203.79,10158.66,36.30737853
215,23:00:00,10134.0,10165.11,10157.67,10164.37,85.14553929
214,23:05:00,10151.4,10183.4,10164.37,10151.4,41.08550862
213,23:10:00,10144.44,10169.99,10148.36,10153.91,22.50571394
212,23:15:00,10153.78,10194.23,10153.78,10194.23,13.07154784
211,23:20:00,10177.11,10194.57,10194.57,10188.52,9.66193734
210,23:25:00,10166.06,10188.52,10188.52,10169.54,4.4523795
209,23:30:00,10168.96,10184.87,10169.54,10180.64,11.00176043
208,23:35:00,10171.84,10181.35,10180.64,10178.57,10.10513298
207,23:40:00,10178.57,10185.0,10178.58,10185.0,5.85297881
206,23:45:00,10180.45,10193.92,10185.0,10183.47,8.6702539
205,23:50:00,10183.46,10189.84,10183.47,10186.56,5.94916709
204,23:55:00,10170.08,10191.45,10186.56,10188.83,5.49991952
203,00:00:00,10463.6,10476.89,10476.88,10474.0,18.88983687
202,00:05:00,10465.62,10499.0,10474.0,10498.21,88.35972026
201,00:10:00,10485.86,10500.0,10498.22,10499.73,75.6482575
200,00:15:00,10423.5,10500.0,10499.93,10423.5,356.29963846
199,00:20:00,10418.33,10454.42,10421.37,10439.01,110.61692397
198,00:25:00,10423.2,10442.83,10438.99,10436.14,24.66476702
197,00:30:00,10425.4,10446.68,10436.14,10440.03,23.747499100000002
196,00:35:00,10425.0,10449.69,10440.7,10425.02,22.56006174
195,00:40:00,10425.02,10439.49,10425.02,10431.61,7.61649968
194,00:45:00,10380.11,10427.39,10427.39,10386.91,100.26753302
193,00:50:00,10375.05,10399.79,10387.23,10379.18,45.54980877
192,00:55:00,10342.55,10384.41,10375.0,10361.43,139.29437324
191,01:00:00,10359.94,10384.15,10359.94,10377.6,32.86619798
190,01:05:00,10279.0,10377.6,10377.6,10296.68,249.17085357
189,01:10:00,10155.0,10295.05,10293.22,10207.56,819.0781399
188,01:15:00,10202.86,10272.68,10207.57,10267.01,215.18596765
187,01:20:00,10228.7,10269.14,10267.01,10252.9,108.59838457
186,01:25:00,10198.9,10252.47,10252.47,10203.48,318.53448472
185,01:30:00,10174.1,10214.74,10203.48,10213.65,140.59309314
184,01:35:00,10213.67,10229.12,10213.67,10225.95,51.79689847
183,01:40:00,10225.94,10259.99,10225.94,10259.49,112.81569639
182,01:45:00,10202.61,10259.99,10259.98,10230.93,164.71534036
181,01:50:00,10230.93,10255.96,10230.94,10251.02,38.72222948
180,01:55:00,10246.34,10270.39,10250.31,10266.98,30.67254362
179,02:00:00,10230.66,10268.0,10267.0,10237.27,34.45476278
178,02:05:00,10211.81,10254.71,10237.23,10211.81,62.57049457
177,02:10:00,10210.01,10243.55,10210.01,10229.94,82.04025933
